index,concept,score,status,image
1,take-effect,100,✅ good,1_take-effect.jpg
2,contribute,100,✅ good,2_contribute.jpg
3,activate,100,✅ good,3_activate.jpg
4,force-open,100,✅ good,4_force-open.jpg
